iter	RMSE
0	4.763640663
1	4.563063658
2	4.361806672
3	4.165061337
4	3.994514893
5	3.836971612
6	3.695554809
7	3.57228242
8	3.440310482
9	3.325990408
10	3.199562353
11	3.080314421
12	2.978958797
13	2.88107269
14	2.792106496
15	2.704787358
16	2.646710331
17	2.605117549
18	2.531163238
19	2.464028094
20	2.418722476
21	2.352984492
22	2.286393381
23	2.229283186
24	2.190742143
25	2.13915004
26	2.098423301
27	2.067280167
28	2.018522617
29	1.958941526
30	1.914297494
31	1.889532266
32	1.853953256
33	1.823136604
34	1.7778538
35	1.749315431
36	1.72446036
37	1.691395569
38	1.652124514
39	1.61405025
40	1.59082914
41	1.55421764
42	1.535782007
43	1.527955018
44	1.502581032
45	1.488544324
46	1.469362354
47	1.441729268
48	1.430799589
49	1.391353
50	1.380683235
51	1.3717492
52	1.346307195
53	1.327121206
54	1.304140341
55	1.29542198
56	1.273698673
57	1.249406022
58	1.228131043
59	1.201762785
60	1.17860814
61	1.157135812
62	1.138574776
63	1.126099154
64	1.108088307
65	1.090246321
66	1.064508006
67	1.050092729
68	1.029109991
69	1.012705108
70	0.9971551881
71	0.9811302663
72	0.9738503687
73	0.9598656019
74	0.9467723407
75	0.9318899986
76	0.9176218546
77	0.9040765396
78	0.8918250589
79	0.8786814798
80	0.8666424328
81	0.8603614532
82	0.8459908869
83	0.8324098132
84	0.8207572237
85	0.8081189638
86	0.8020763517
87	0.785845856
88	0.7723363634
89	0.7621318818
90	0.7523662874
91	0.7414501249
92	0.730282874
93	0.7210923739
94	0.7081671745
95	0.6978956198
96	0.6858938694
97	0.6740596938
98	0.6623614146
99	0.6509665341
