iter	Passed	Remaining
0	1	103
1	1	59
2	1	46
3	1	39
4	1	34
5	2	31
6	2	28
7	2	26
8	2	28
9	2	26
10	3	25
11	3	24
12	3	22
13	3	21
14	3	20
15	3	19
16	3	19
17	4	18
18	4	17
19	4	17
20	4	16
21	4	16
22	4	15
23	4	15
24	4	14
25	5	14
26	5	14
27	5	13
28	5	13
29	5	13
30	5	12
31	5	12
32	6	12
33	6	12
34	6	11
35	6	11
36	6	11
37	6	10
38	6	10
39	7	10
40	7	10
41	7	10
42	7	9
43	7	9
44	7	9
45	7	9
46	8	9
47	8	8
48	8	8
49	8	8
50	8	8
51	9	8
52	9	8
53	9	7
54	9	7
55	9	7
56	9	7
57	9	7
58	10	6
59	10	6
60	10	6
61	10	6
62	10	6
63	10	6
64	10	5
65	11	5
66	11	5
67	11	5
68	11	5
69	11	4
70	11	4
71	11	4
72	12	4
73	12	4
74	12	4
75	12	3
76	12	3
77	12	3
78	12	3
79	13	3
80	13	3
81	13	2
82	13	2
83	13	2
84	13	2
85	13	2
86	13	2
87	14	1
88	14	1
89	15	1
90	15	1
91	15	1
92	16	1
93	16	1
94	16	0
95	16	0
96	16	0
97	16	0
98	17	0
99	17	0
